text,category
"For my Grandma Ella's 80th, she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines.",Satisfied
Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER,Satisfied
gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!,Satisfied
had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd,Satisfied
that doesn't look to fat to me! It looks yummy!,Satisfied
omg omg😍😍 nonstop Dallas to Austin on virgin✨😱✈️,Satisfied
Your planes are really pretty. Just thought u should know that. :),Satisfied
thank you,Satisfied
good to be home #texas #moodlighting http://t.co/N3BVZTY3zI,Satisfied
"thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!",Satisfied
this is too cool!  Never been on ur planes but now I will!!,Satisfied
great. Well deserved.,Satisfied
got it. All set - Thanks!,Satisfied
Giants and Virgin America. A match made in heaven.,Satisfied
"thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!",Satisfied
I luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? I'm not a caffeine drinker,Satisfied
thank you! See y'all soon! I'm excited to see the expansion of destinations. Spread those wings!,Satisfied
has the most INCREDIBLE customer service I've ever experienced! So refreshing!,Satisfied
", am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?",Satisfied
OMG FINALLY,Satisfied
#thankyou the DAL-AUS route makes my day!!!!,Satisfied
awesome deals DAL-AUS for only $39 each way! https://t.co/xCVQXYkg49,Satisfied
"love it, taking  on in their backyard! Consumers win when biz competes.",Satisfied
​ is flying from Love to Austin now. That is most excellent news.,Satisfied
Congrats VX on the new route! ✈️🎉,Satisfied
"I tried that. You offered to charge me an additional $1k for a new ticket or be stranded until Thurs. 1st time, last time.",Flight Issue
I am all about the in flight artisanal cheese and wine pairing.,Satisfied
That's classy.,Satisfied
I'm sure a lot of your 747 and 777 JFK-LHR flights go a lot faster than 513mph with a strong tailwind.,Satisfied
now it's just t-minus 32 minutes until my Elevate a Silver upgrade window opens . #FreeNeverSucks 😃👍,Satisfied
Why is it taking 12 years to fly home to Dallas? Get your shit together.,Flight Issue
would have been a rough trip but LUCKILY we were on a #virginamerica flight. #weather,Satisfied
"another perfect flight.   How come on your planes,  the sun visors can stay down?  Other carriers make you raise them?",Satisfied
"Nice RT : The man of steel might be faster, but we have WiFi – just saying. #ScienceBehindTheExperience http://t.co/FGRbpAZSiX",Satisfied
I love the dancing little richard. cool beans.,Satisfied
I don’t use Passbook =/ I still love you though &lt;3 :) I’ll just use my email in the future.,Satisfied
thanks for the free birthday points! y'all are ALL RIGHT with me!,Satisfied
thanks so much for sharing. Just added it to my site http://t.co/TsviBTvT8h,Satisfied
Dad on Segway is the best part of this whole infographic!,Satisfied
Are there any plans for a short haul airline in Europe? Would defiantly fly with you guys :),Satisfied
wifi AND better seating.,Satisfied
". not only was it great, but you return my calls the day after. Couldn't ask for more. #myVXexperience",Satisfied
"While other airlines weren't cancelleding flights into BOS, and helping their customers get home, Virgin was saying Good luck!",Flight Issue
"so loyal that I'm driving to #NYC from #PA, to fly Virgin,  since you cut #Philly flights ;)",Satisfied
you guys are perfect as always! &lt;3 #WeRVirgin,Satisfied
thanks! Y'all have some of the best customer service left in the industry.,Satisfied
really wish you'd fly out of #Fargo  those fares are amazings,Satisfied
my flight (6000) scheduled for 1pm departure still says on time but no plane at gate. Any update on how long of a delay?,Flight Issue
just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome,Satisfied
Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.,Satisfied
thanks,Satisfied
Thanks for taking care of that MR!! Happy customer.,Satisfied
still no refund or word via DM. Please resolve this issue as your cancelled flight was useless to my assistant's trip.,Flight Issue
Delayed due to lack of crew and now delayed again because there's a long line for deicing... Still need to improve service #united,Flight Issue
thanks -- we filled it out. How's our luck with this? Is it common?,Satisfied
thanks,Satisfied
Thanks. It is on the same ticket.,Satisfied
follow me please this airline is beautifull ♥,Satisfied
"if the car seat is lost  should just reimburse me for a new one, this is not a pair of shoes, it's a necessity for my child",Luggage Issue
just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated,Satisfied
"See? We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr.  After we boarded, there was a defibrillator issue.",Flight Issue
"- thanks for your help...got me what I need, but its an issue with  . I guess I sit awhile longer.",Satisfied
A refund and flight vouchers or another flight on a different airline at your expense for today. 8 hour drive is very inconvenient,Flight Issue
then why have I not received my call back its been 3 days...it's an infant car seat how am I supposed to go anywhere with my child,Luggage Issue
well sitting on the ground 'on time' but waiting for a gate....again #tiredofthis,Flight Issue
"""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/9v8tMUsJvU",Satisfied
A measly $50 e-certificate is not how you appreciate loyal customers after they wait 3hrs on the tarmac during UA1116. #unacceptable,Flight Issue
Thank you for that. Am I able to claim any interim expenses or is the cost of the stuff up on me?,Satisfied
just flew to #TelAviv paid $100 from a third suitcase which didn't even make it on the plane! Besides for the impolite service...,Luggage Issue
My bag is still in Colo Springs. I am disabled and have to search an unfamiliar airport and look for my bag. Not a good outcome,Luggage Issue
ZCC82U cancelled flight 16h in advance??? Need connect flight reschedule so the link isn't helping. Help!? Gf waited months to see me.,Flight Issue
"in addition, my first flight was delayed an hour and I'm arriving at my destination 8 hrs Late Flight.",Flight Issue
I flew United last month and the experience was AWESOME!,Satisfied
"441, which also had 1 working WC in coach. Good thing this bird landed ahead of schedule. I have to use the WC stat.",Satisfied
they helped me at the baggage service desk.  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12,Luggage Issue
for the record- Rozana at Newark was lovely and helpful. #choosekind,Satisfied
thx for update,Satisfied
I tried but no one was available in bogota and everyone was rude in Houston. I was stuck for 35 hours because of you guys,Flight Issue
despite my bag not making it to Newark good informative email tracking updates help!,Satisfied
. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever,Flight Issue
#worst2unitedflightsever UA1429 IAD to LAS 2/19 mechanical problems - switched aircraft delayed 3.5 hours!,Flight Issue
"Wow. What a deal. Again, 30+ plus seats available. Easy change to make a customer happy.",Satisfied
ua1673 still waiting! Supposed to depart 9:08,Flight Issue
"I received 1 bag last night, I am still missing the other one.",Luggage Issue
2nd flight also delayed no pilots! But they boarded is so we can just sit here! #scheduling,Flight Issue
what time? Who can I call. I need my skis. I will go to the airport and get them. No more faith in United.,Luggage Issue
Yeah sorry but there's always a problem with United. And you have an international reputation for having problems.,Flight Issue
So they didn't drop my bag overnight &amp; now I'm leaving for a week. This is why you were supposed to hold on to the bag....,Luggage Issue
"I've sent the message, let me know if you got it. I'm not very twitter-literate. Also, is he REALLY going to be stuck for 18hrs?",Flight Issue
private jet would have been cool! Do does not work. I'll try again,Satisfied
common!! keep your paper work ready and don't delay our flights(#1585)and meetings,Flight Issue
"yep that's correct, I got an email at 12:30 am that the flight was cancelled, doesn't matter now flight into atl is delayed, thx",Flight Issue
1k and had problem getting out of FLL to IAH  sent DM to you about making my connection  please let me know,Flight Issue
"thanks, just sent :)",Satisfied
"I'm grounded in Montreal with ua3659. I am missing my connection ua3417 to St. Louis. Can you help,Do you have a private jet for me?",Flight Issue
how does it get cancelled 10 hours before take off?,Flight Issue
"has unrivalled access to #California with flights to the U.S. from 7 UK airports, with nonstop or one-stop connections year-round",Satisfied
checking to see why flight 3466 (atl-ord) got cancelleded?,Flight Issue
thnx for the info,Satisfied
"ok. To top things off, you've lost my luggage. Could you get ANY worse??? #UnitedAirlines",Luggage Issue
kudos for not Cancelled Flightling flights from DFW this morning.   United usually first to panic...,Satisfied
flight delayed-no one remembered to turn the heat on flight 559 leaving ORD-seriously???,Flight Issue
another awesome new plane flight 1584 and extremely nice Captain Steve Connolly.,Satisfied
did  bags make it on the flight out of iad? second day without clothes is pretty inconvenient. We're pretty curious #UnitedAirlines,Luggage Issue
Every United flight between Saipan and Guam is an adventure! You never know when 's old plane will be operational :),Satisfied
did our bags leave Washington yet? That would be convenient seeing as we left there a day ago. #UnitedAirlines #lostluggage,Luggage Issue
about 3 hours ago. I need to work out if my bag can make it to my hotel here in time or if it will need to go elsewhere.,Luggage Issue
Thanks for remembering to load my bag onto my connecting flight. Oh wait you forgot. Iceland should be fun with no clothes....,Luggage Issue
Thank you for the cheese platter and abundance of entertainment options. Time just flew by.,Satisfied
it was UA flight 1001! Now I'm currently stuck in Portland because I missed my ride because of the 3 hour delay. #GetMartyHome,Flight Issue
how we looking on getting those bags to Lusaka,Luggage Issue
Could you update me on the suitcase please? The online and phone tracking told me nothing. I was told I'd have it back yesterday!,Luggage Issue
thank you. Been trying for two days to set this up.,Satisfied
completed form but doubt it's any use. UA doesn't care. 6 day vacation will now be 5. Sure UA won't feel responsibility for that...,Flight Issue
Definitely a compliment! I really thought my bag was lost after it was sent on to another airport. In the end I am a happy customer,Satisfied
thanx so much. You followed through and emailed me a $1000 ticket voucher. #unitedairlines they do care,Satisfied
"this will definitely be a trip to remember EWR-STI second of the season, first on seat 35A because it pays to be loyal!",Satisfied
"..back for the expensive holiday, he worked all year to pay for, that you RUINED! We want compensation &amp; his original case back!",Luggage Issue
thanks United I understand that. But he would actually like his own bag back! What have you done with it?! He also wants the money..,Luggage Issue
"It's still a valid flight. Just seems strange to delay for Late Flight inbound crew,  7 hours from now, when the plane is already here.",Flight Issue
if I pay you $25 and $35 for my luggage to be delivered when I arrive. Why should I have to wait 3 additional days for its delivery?,Luggage Issue
so 8 hotels for 32 people but feel like we are being held hostage because someone has our boarding passes so we can't leave! #FAIL,Flight Issue
you are one great airline ❤️,Satisfied
no cancelledn just left us to fend for ourselves when flt came in Late Flight. Getting runaround for 3 hrs. Each employee blaming  previous 1.,Flight Issue
okay ase24766m. Find our luggage.,Luggage Issue
But they are not... lady one phone says its in tel aviv. Tel Aviv united says its in Newark. No one knows and I have nothing...,Luggage Issue
“:  We'll see what we can do. ^KN” We are running! Most of this plane is running. Thanks for the help!,Satisfied
"yes, but still now answers. Many have not had their luggage for 3 days! Unacceptable!!",Luggage Issue
on 4124 arriving two hours Late Flight into CLT. Now sitting on the tarmac while they move a plane from the gate. Unhappy customer.,Flight Issue
we just flew with United from AUS (Austin Bergstrom) to Cancun Intl. Best flight ever! The 737's are not too big... Not too small!,Satisfied
4 passengers after a 2 hour delayed flight left with no hotel at the end of the night @ hou airport. Wtf??!! http://t.co/ZfqMpGXVS6,Flight Issue
"Hey  why does the flight from IAH to POS leave so Late Flight, and the one back to IAH so early? I rather get to POS earlier",Flight Issue
Lost bag process is broken. Agent promised they'd call &amp; hold my bag when found. Now they're waking me at 3am w/ delivery. #fail,Luggage Issue
the people at the counter have been very helpful. As you can see nobody is there. Flight to Austin 10:55 and still sitting here.,Flight Issue
"good to know you will open the closed doors for ""premier passengers"" after safety briefings on delayed flights. #annoyed.",Flight Issue
yea get me to phoenix already. Delays all day with you people. It's bullshit.,Flight Issue
"If it's any consolation, your staff was stellar. Just not the hour+ delays I encountered with every one of my 4 flights.",Flight Issue
"flight ua3576, gate b1. And tell ray I somehow made it on to the 736 flight out of IAH and didn't have to wait for the 917 one. :)",Satisfied
But thanks for asking,Satisfied
Lost bags. cancelled flights. Delhi call centers. Poor United staff spread thin and stressed. You name it.,Flight Issue
Yes. Doesn't make that mistake any less absurd. Doesn't change the fact that I'm very inconveniently missing my luggage tonight.,Luggage Issue
you too!,Satisfied
is my favorite airline.,Satisfied
we needed them here asap. Will they make it on today's flight?,Luggage Issue
can you ask your guys with flight 1146 to BWI to wait for us to get off a delayed flight from San Diego? Pretty please?,Flight Issue
"for an early flt, I think a call is appropriate. Yes, reviewed and nada avail until next day. Expect full refund",Flight Issue
Yo yo yo stuck on the tarmac for over 2 hours at  ... Going to miss my ride at  help please! #HelpImStuck #United,Flight Issue
man I can't wait to book my ticket now! Thanks JP you're a life sabe,Satisfied
"Ice, which I totally understand. But when a large number of us are facing 15+ hours of time and overnight cancelledations it seems like",Flight Issue
flt 1249 cancelled and I get email :30 AM? What happened to courtesy phn call? Had to book diff airline &amp; city,Flight Issue
"tag numbers 0016 964012, 0016 964077, 0016 964078 - let's find these bags.",Luggage Issue
you guys continue to impress me in Houston. http://t.co/cIh1qNllcM,Satisfied
thanks for effing up our holidays - we're missing a full day of skiing due to your baggage team's incompetence at,Luggage Issue
Connection at ORD was on the exact same plane again. Checked carry-on was apparently taken off &amp; left in Chicago. Pretty ridiculous.,Luggage Issue
Not encouraged that I'll have my CPAP tonight.,Luggage Issue
Yes. Did file a claim as soon as the carousel stopped without my bag on it. Got an email that its found but not sched for delivery,Luggage Issue
Delay DEN-CLE because they have to manually enter baggage tags? Really? Worst cust service day for this 1ker. #friendlyskies??,Flight Issue
"yes in Lusaka, Zambia. My guess is the bags never made the plane at IAD.",Luggage Issue
"Late Flight to Denver, Late Flight to Newark...let's not even get into the disaster that was checking bags. Unacceptable.",Flight Issue
yes I filed a claim &amp; hope to receive by luggage by 2am. Ridiculous as I had to purchase items to go to sleep &amp; no reimbursement.,Luggage Issue
After our unscheduled refueling stop and missing 2 connecting flights we r home n looking 4ward to our bed and a big PB&amp;J sandwich.,Flight Issue
UA276 sitting at EWR nearly an hour after sked.  Pilot says computers down but no clue when we will leave.  Can you help?,Flight Issue
Made the upgrade list. Will fly 1st tomorrow (for 40 min) for the first time ever! 🙌 #StatusMatchPaidOff http://t.co/ATfRKp6goY,Satisfied
"not just refunded, but for those of us who are on vacation to get a free room night to make up for making us sleep in DIA",Satisfied
Thanks for the reminder. It's been a fun ride. http://t.co/pPVA4Rch9f,Satisfied
"5 gate changes, two delays.  Even the crew thinks the airline sucks",Flight Issue
I'm very frustrated and have wasted 2 days now due to your equipment failures.,Flight Issue
Terrific. Many thanks. Looking forward to being back on UA tomorrow. Had a great flight up to Vancouver.,Satisfied
I appreciate your efforts getting me home!,Satisfied
Today was not your finest. All could have been prevented by one gate agent advising 200 passengers.,Flight Issue
what is the real deal with the delay on flight UA 1032 from Denver to Vegas?,Flight Issue
lots of reports of system failures delaying flights over the last week. Currently sitting on the tarmac at OGG for over an hour.,Flight Issue
"despite shaky connections, looks like I'll get home tonight. Great job,  - was touch and go for a while..",Satisfied
can you tell me how to file a claim for clothing that had to be purchased?,Luggage Issue
GRK13575M is the file reference,Luggage Issue
thank you.,Satisfied
"He needs to get to home the 24th, they're telling him it'll be the 25th @ night. Is there compensation or anything that can be done?",Flight Issue
wonderful bag claim people - finally have my bag. But why did I catch earlier flight? Original flight just landed. #wastedtime,Luggage Issue
thanks we'll be in touch!,Satisfied
Thanks to Karen Salisbury at IAH for amazing customer service!  Found my daughter's bag lost on UA1516.  Made her day!,Satisfied
"3 days Late Flightr and my bag has not left IAD, United is not helping at all. Everyone tells me a different story",Luggage Issue
I left my comment with customer care. Thanks for contacting me.,Satisfied
how do you lose a gate checked bag DEN to ORD? Direct flight. Ugh.,Luggage Issue
"caught earlier flight to ORD. Gate checked bag, and you've lost it at O'Hare. original flight lands in 20minutes. #frustrating!",Luggage Issue
Yes!! Thanks so much!!! 💜“:  We see you spoke with our Reservations team and they've reinstated the flight. Thanks. ^EY”,Satisfied
"captain ""on behalf of the front office, welcome on board."".... Never heard that before. I laughed...hard.  #funnycaptain",Satisfied
Can you please follow for a Dm on a missing bag?,Luggage Issue
These are great fares!!!!!,Satisfied
awesome I'll book my next Christmas vacatinn this December any other ways you want to devalue mileage plus.,Satisfied
what's a good number to call to speak with someone about how you can fix what you did to 50 people and their luggage on Saturday?,Luggage Issue
THANK U! Secured room for the night Thx to VERY helpful customer service rep N. Dorns.. I thanked her.. Can u 2? #goodenoughmother,Satisfied
where's my damn bag??,Luggage Issue
well someone should tell that to the employees at the Denver baggage claim. Still no bag!!!!,Luggage Issue
we just want to go home tonight - why did you cancelled the last leg of our reserv. w/out our permission??! #PH6RPS,Flight Issue
FAIL You cancelled our flight frm GJT and then used our reserv home to IAH (from SEA) for reFlight Booking Problems w/out OUR PERMISSION!! #PH6RPS,Flight Issue
has made my no fly list. Other airlines wait when connector Late Flight. Stuck in IAH.,Flight Issue
thank you. I flew into Newark from Vail/Eagle.,Satisfied
"the proper response: sorry for your wait, what flight # were you on so we can look into the issue. That's how  would handle.",Luggage Issue
@ Denver International Airport https://t.co/tKVmHBkeC3,Satisfied
Thank you for responding so quickly with a helpful tool!,Satisfied
"flight arrives 30 minutes early, but then have we to wait for an hour for our bags.",Luggage Issue
That's not the issue. The fact that no one even called (despite promises) to confirm the bag's location is.,Luggage Issue
or  has lost my baggage… heard different things from different employees of .  has said nothing.,Luggage Issue
Thank you. Took care of everything and made it right. That's the experience I'm used to. Opened the app to find flight changed.,Satisfied
